City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Congressional District
Wilsonville,Oregon,45.308493,-122.785518,1,place,,,Wilsonville,OR,Clackamas County,97070,US,TIGER/Line® dataset from the US Census Bureau,OR5
Sacramento County,California,38.380456,-121.555406,1,place,,,Sacramento,CA,Sacramento County,94203,US,TIGER/Line® dataset from the US Census Bureau,CA3
Aurora,Ohio,41.311704,-81.292977,1,place,,,Aurora,OH,Portage County,44202,US,TIGER/Line® dataset from the US Census Bureau,OH14
Beavercreek,Ohio,39.709226,-84.063269,0.7,place,,,Beavercreek,OH,Greene County,45436,US,TIGER/Line® dataset from the US Census Bureau,OH10
Bexley,Ohio,0,0,0,,,,,,,,,,
Brooklyn,Ohio,40.645099,-73.945032,0.27,place,,,Brooklyn,NY,Kings County,11256,US,TIGER/Line® dataset from the US Census Bureau,NY9
Brooklyn Heights,Ohio,40.645099,-73.945032,0.27,place,,,Brooklyn,NY,Kings County,11256,US,TIGER/Line® dataset from the US Census Bureau,NY9
Canal Fulton,Ohio,40.88978,-81.59762,1,place,,,Canal Fulton,OH,Stark County,44614,US,TIGER/Line® dataset from the US Census Bureau,OH16
Canfield,Ohio,41.008621,-80.822094,1,place,,,Canfield,OH,Mahoning County,44406,US,TIGER/Line® dataset from the US Census Bureau,OH6
Canton,Ohio,40.782408,-81.371185,1,place,,,Canton,OH,Stark County,44701,US,TIGER/Line® dataset from the US Census Bureau,OH7
Chagrin Falls,Ohio,41.449353,-81.431436,1,place,,,Chagrin Falls,OH,Cuyahoga County,44022,US,TIGER/Line® dataset from the US Census Bureau,OH14
Chardon,Ohio,41.572432,-81.157142,1,place,,,Chardon,OH,Geauga County,44024,US,TIGER/Line® dataset from the US Census Bureau,OH14
Chillicothe,Ohio,39.337384,-82.991332,1,place,,,Chillicothe,OH,Ross County,45601,US,TIGER/Line® dataset from the US Census Bureau,OH2
"Cincinnati, Ohio",Ohio,39.166759,-84.53822,1,place,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau,OH1
Circleville,Ohio,39.597084,-82.945899,1,place,,,Circleville,OH,Pickaway County,43113,US,TIGER/Line® dataset from the US Census Bureau,OH15
Cortland,Ohio,41.354945,-80.778301,1,place,,,Cortland,OH,Trumbull County,44410,US,TIGER/Line® dataset from the US Census Bureau,OH14
Dalton,Ohio,40.79894,-81.69541,1,place,,,Dalton,OH,Wayne County,44618,US,TIGER/Line® dataset from the US Census Bureau,OH16
Eastlake,Ohio,41.658653,-81.444531,1,place,,,Eastlake,OH,Lake County,44095,US,TIGER/Line® dataset from the US Census Bureau,OH14
Euclid,Ohio,41.566834,-81.526142,1,place,,,Euclid,OH,Cuyahoga County,44117,US,TIGER/Line® dataset from the US Census Bureau,OH11
Fairborn,Ohio,39.82089,-84.01938,1,place,,,Fairborn,OH,Greene County,45324,US,TIGER/Line® dataset from the US Census Bureau,OH10
Findlay,Ohio,40.993263,-83.650714,1,place,,,Findlay,OH,Hancock County,45839,US,TIGER/Line® dataset from the US Census Bureau,OH5
